variable,n,mean,std,min,max,skew,kurtosis
log_rv,180,-6.33343785497527,0.8888772271495007,-8.143613448335847,-2.768019354767475,0.8640384467228645,1.216596586518727
NPI,180,0.006850320739999152,0.021736925903155704,0.0,0.1185313685479351,3.4876704851130524,11.959990612934654
ANP,180,-0.00792659089269951,0.039654725303306874,-0.2723614826512214,0.0,-5.570388587569587,31.28132234483545
SNP,180,-0.001076270152700358,0.046413330703864775,-0.2723614826512214,0.1185313685479351,-3.327261788746365,18.45269670498182
NPI2,180,0.12777777777777777,0.33477342551461325,0.0,1.0,2.2487119089779255,3.0909268591004633
