model,log_MSE,log_MAPE,n_eval
MLR,0.5567558739504631,10.747627219771786,75
LASSO,0.5565621536292851,10.73658297261102,75
SVR,0.5826109581582937,10.957870979425842,75
XGBoost,0.5659183347519434,10.581887269300495,75
LSTM,,,0
MeanComb,0.5586781903764285,10.69140231132519,75
MedianComb,0.5619651712271708,10.755067346266602,75
TrimmedMeanComb,0.5619651712271708,10.755067346266602,75
DMSPE_1.0,0.5590194430588992,10.696180544025381,75
DMSPE_0.9,0.5591293522298817,10.695796711518444,75
