model,log_MSE,log_MAPE,n_eval
MLR,0.5412630887466476,10.6006147705032,74
LASSO,0.5603610594204221,10.795379645411519,74
SVR,0.579184705158097,11.021128817888096,74
XGBoost,0.5809718195037717,10.722718626208694,74
LSTM,,,0
MeanComb,0.5591266671522214,10.721721925072973,74
MedianComb,0.5626114818857924,10.784908772860934,74
TrimmedMeanComb,0.5626114818857924,10.784908772860934,74
DMSPE_1.0,0.5599622146128471,10.726315372911511,74
DMSPE_0.9,0.5600913258287133,10.727427950511666,74
